team_a,team_b,matches_2006_2026,team_a_wins,draws,team_b_wins,goals_a,goals_b,first_match,last_match,source_dataset,source_url
Ivory Coast,Sweden,3,2,0,1,3,3,2006-11-15,2017-01-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Ivory Coast,Switzerland,0,0,0,0,0,0,,,,
Ivory Coast,Tunisia,5,3,1,1,7,3,2008-03-26,2019-09-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Ivory Coast,Turkey,1,0,1,0,1,1,2009-02-11,2009-02-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Ivory Coast,United States,0,0,0,0,0,0,,,,
Ivory Coast,Uruguay,1,1,0,0,2,1,2024-03-26,2024-03-26,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Ivory Coast,Uzbekistan,0,0,0,0,0,0,,,,
Japan,Jordan,5,3,1,1,16,4,2011-01-09,2024-01-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Mexico,3,0,1,2,1,4,2013-06-22,2025-09-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Morocco,0,0,0,0,0,0,,,,
Japan,Netherlands,3,0,1,2,2,6,2009-09-05,2013-11-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,New Zealand,2,2,0,0,6,3,2014-03-05,2017-10-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Norway,0,0,0,0,0,0,,,,
Japan,Panama,2,2,0,0,4,0,2018-10-12,2020-11-13,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Paraguay,7,4,3,0,13,5,2008-05-27,2025-10-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Portugal,0,0,0,0,0,0,,,,
Japan,Qatar,5,2,2,1,9,7,2007-07-09,2019-02-01,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Saudi Arabia,11,6,1,4,17,8,2006-09-03,2025-03-25,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Scotland,2,2,0,0,3,0,2009-10-10,2026-03-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Senegal,1,0,1,0,2,2,2018-06-24,2018-06-24,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,South Africa,1,0,1,0,0,0,2009-11-14,2009-11-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,South Korea,13,4,5,4,17,15,2007-07-28,2022-07-27,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Spain,1,1,0,0,2,1,2022-12-01,2022-12-01,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Sweden,0,0,0,0,0,0,,,,
Japan,Switzerland,2,1,0,1,4,5,2007-09-11,2018-06-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Tunisia,2,1,0,1,2,3,2015-03-27,2022-06-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Turkey,1,1,0,0,4,2,2023-09-12,2023-09-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,United States,2,1,0,1,2,2,2022-09-23,2025-09-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Uruguay,6,1,2,3,10,15,2008-08-20,2023-03-24,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Japan,Uzbekistan,6,3,2,1,10,5,2008-10-15,2019-01-17,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Mexico,0,0,0,0,0,0,,,,
Jordan,Morocco,2,0,0,2,2,7,2021-12-04,2025-12-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Netherlands,0,0,0,0,0,0,,,,
Jordan,New Zealand,2,1,0,1,4,4,2009-09-09,2022-01-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Norway,1,0,0,1,0,6,2023-09-07,2023-09-07,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Panama,0,0,0,0,0,0,,,,
Jordan,Paraguay,1,0,0,1,2,4,2019-09-10,2019-09-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Portugal,0,0,0,0,0,0,,,,
Jordan,Qatar,7,2,0,5,9,13,2008-03-16,2024-02-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Saudi Arabia,11,5,2,4,12,11,2006-11-08,2025-12-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Scotland,0,0,0,0,0,0,,,,
Jordan,Senegal,0,0,0,0,0,0,,,,
Jordan,South Africa,0,0,0,0,0,0,,,,
Jordan,South Korea,8,1,3,4,7,10,2008-05-31,2025-03-25,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Spain,1,0,0,1,1,3,2022-11-17,2022-11-17,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Sweden,0,0,0,0,0,0,,,,
Jordan,Switzerland,0,0,0,0,0,0,,,,
Jordan,Tunisia,2,0,1,1,5,6,2011-08-22,2025-11-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Turkey,0,0,0,0,0,0,,,,
Jordan,United States,0,0,0,0,0,0,,,,
Jordan,Uruguay,2,0,1,1,0,5,2013-11-13,2013-11-20,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Jordan,Uzbekistan,13,2,4,7,12,18,2008-03-22,2025-01-22,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Morocco,0,0,0,0,0,0,,,,
Mexico,Netherlands,5,2,0,3,7,8,2006-06-01,2020-10-07,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,New Zealand,7,7,0,0,21,5,2010-03-03,2024-09-07,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Norway,0,0,0,0,0,0,,,,
Mexico,Panama,22,16,4,2,31,10,2007-06-13,2026-01-22,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Paraguay,9,6,0,3,19,9,2007-03-25,2025-11-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Portugal,5,0,2,3,4,7,2006-06-21,2026-03-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Qatar,1,0,0,1,0,1,2023-07-02,2023-07-02,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Saudi Arabia,2,2,0,0,4,1,2022-11-30,2025-06-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Scotland,1,1,0,0,1,0,2018-06-02,2018-06-02,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Senegal,1,1,0,0,1,0,2010-05-10,2010-05-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,South Africa,1,0,1,0,1,1,2010-06-11,2010-06-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,South Korea,4,3,1,0,11,5,2014-01-29,2025-09-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Spain,1,0,1,0,1,1,2010-08-11,2010-08-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Sweden,3,0,0,3,1,6,2009-01-28,2022-11-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Switzerland,1,0,0,1,2,4,2025-06-07,2025-06-07,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Tunisia,0,0,0,0,0,0,,,,
Mexico,Turkey,1,1,0,0,1,0,2025-06-10,2025-06-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,United States,27,9,6,12,32,35,2007-02-07,2025-07-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Uruguay,8,2,1,5,7,15,2007-07-14,2025-11-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Mexico,Uzbekistan,1,0,1,0,3,3,2023-09-12,2023-09-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Netherlands,1,0,0,1,1,2,2017-05-31,2017-05-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,New Zealand,0,0,0,0,0,0,,,,
Morocco,Norway,0,0,0,0,0,0,,,,
Morocco,Panama,0,0,0,0,0,0,,,,
Morocco,Paraguay,2,1,1,0,2,1,2022-09-27,2026-03-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Portugal,2,1,0,1,1,1,2018-06-20,2022-12-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Qatar,1,0,1,0,0,0,2014-09-03,2014-09-03,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Saudi Arabia,3,2,0,1,2,4,2012-06-18,2025-12-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Scotland,0,0,0,0,0,0,,,,
Morocco,Senegal,5,4,0,1,11,2,2007-11-21,2026-01-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,South Africa,6,2,2,2,7,8,2013-01-27,2024-01-30,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,South Korea,1,1,0,0,3,1,2017-10-10,2017-10-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Spain,2,0,2,0,2,2,2018-06-25,2022-12-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Sweden,0,0,0,0,0,0,,,,
Morocco,Switzerland,0,0,0,0,0,0,,,,
Morocco,Tunisia,5,3,1,1,6,3,2007-02-07,2025-06-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Turkey,0,0,0,0,0,0,,,,
Morocco,United States,1,0,0,1,0,3,2022-06-01,2022-06-01,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Uruguay,1,0,0,1,0,1,2015-03-28,2015-03-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Morocco,Uzbekistan,1,1,0,0,2,0,2018-03-27,2018-03-27,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,New Zealand,0,0,0,0,0,0,,,,
Netherlands,Norway,5,4,1,0,8,2,2008-10-15,2026-03-27,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Panama,0,0,0,0,0,0,,,,
Netherlands,Paraguay,1,0,1,0,0,0,2009-11-18,2009-11-18,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Portugal,5,1,1,3,5,5,2006-06-25,2019-06-09,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Qatar,1,1,0,0,2,0,2022-11-29,2022-11-29,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Saudi Arabia,0,0,0,0,0,0,,,,
Netherlands,Scotland,5,4,1,0,11,2,2009-03-28,2024-03-22,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Senegal,1,1,0,0,2,0,2022-11-21,2022-11-21,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,South Africa,0,0,0,0,0,0,,,,
Netherlands,South Korea,1,1,0,0,2,0,2007-06-02,2007-06-02,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Spain,6,2,3,1,13,8,2010-07-11,2025-03-23,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Sweden,5,3,1,1,12,6,2008-11-19,2017-10-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Switzerland,2,0,1,1,1,2,2007-08-22,2011-11-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Tunisia,1,0,1,0,1,1,2009-02-11,2009-02-11,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Turkey,8,5,1,2,16,10,2010-11-17,2024-07-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,United States,3,2,0,1,8,6,2010-03-03,2022-12-03,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Uruguay,2,1,1,0,4,3,2010-07-06,2011-06-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Netherlands,Uzbekistan,0,0,0,0,0,0,,,,
New Zealand,Norway,1,0,1,0,1,1,2025-10-14,2025-10-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Panama,0,0,0,0,0,0,,,,
New Zealand,Paraguay,2,0,1,1,0,2,2010-06-24,2010-10-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Portugal,1,0,0,1,0,4,2017-06-24,2017-06-24,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Qatar,0,0,0,0,0,0,,,,
New Zealand,Saudi Arabia,1,1,0,0,1,0,2013-09-05,2013-09-05,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Scotland,0,0,0,0,0,0,,,,
New Zealand,Senegal,0,0,0,0,0,0,,,,
New Zealand,South Africa,2,0,1,1,0,2,2009-06-17,2014-05-30,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,South Korea,1,0,0,1,0,1,2015-03-31,2015-03-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Spain,1,0,0,1,0,5,2009-06-14,2009-06-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Sweden,1,0,0,1,1,4,2023-06-16,2023-06-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Switzerland,0,0,0,0,0,0,,,,
New Zealand,Tunisia,1,0,1,0,0,0,2024-03-26,2024-03-26,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Turkey,0,0,0,0,0,0,,,,
New Zealand,United States,1,0,1,0,1,1,2024-09-10,2024-09-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
New Zealand,Uruguay,0,0,0,0,0,0,,,,
New Zealand,Uzbekistan,1,0,0,1,1,3,2014-09-08,2014-09-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Panama,1,1,0,0,1,0,2018-06-06,2018-06-06,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Paraguay,0,0,0,0,0,0,,,,
Norway,Portugal,3,1,0,2,1,4,2010-09-07,2016-05-29,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Qatar,0,0,0,0,0,0,,,,
Norway,Saudi Arabia,0,0,0,0,0,0,,,,
Norway,Scotland,5,1,2,2,8,6,2008-10-11,2023-11-19,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Senegal,0,0,0,0,0,0,,,,
Norway,South Africa,3,2,0,1,3,2,2009-03-28,2013-01-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,South Korea,1,0,1,0,0,0,2006-06-01,2006-06-01,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Spain,4,0,1,3,2,7,2019-03-23,2023-10-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Sweden,7,2,4,1,12,12,2013-08-14,2022-06-12,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Switzerland,4,1,2,1,2,3,2009-11-14,2026-03-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Tunisia,0,0,0,0,0,0,,,,
Norway,Turkey,4,0,2,2,4,8,2007-03-28,2021-10-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,United States,0,0,0,0,0,0,,,,
Norway,Uruguay,1,0,1,0,2,2,2008-05-28,2008-05-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Norway,Uzbekistan,0,0,0,0,0,0,,,,
Panama,Paraguay,3,0,0,3,0,4,2011-09-02,2024-06-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Portugal,1,0,0,1,0,2,2012-08-15,2012-08-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Qatar,3,1,1,1,8,5,2021-07-13,2023-07-08,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Saudi Arabia,1,0,1,0,1,1,2022-11-10,2022-11-10,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Scotland,0,0,0,0,0,0,,,,
Panama,Senegal,0,0,0,0,0,0,,,,
Panama,South Africa,2,1,1,0,3,2,2026-03-27,2026-03-31,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,South Korea,1,0,1,0,2,2,2018-10-16,2018-10-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Spain,1,0,0,1,1,5,2012-11-14,2012-11-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Sweden,0,0,0,0,0,0,,,,
Panama,Switzerland,1,0,0,1,0,6,2018-03-27,2018-03-27,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Tunisia,1,0,0,1,1,2,2018-06-28,2018-06-28,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Turkey,0,0,0,0,0,0,,,,
Panama,United States,23,4,5,14,18,42,2007-06-16,2025-03-20,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Uruguay,3,0,0,3,1,11,2019-06-07,2024-06-23,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Panama,Uzbekistan,0,0,0,0,0,0,,,,
Paraguay,Portugal,0,0,0,0,0,0,,,,
Paraguay,Qatar,2,0,1,1,2,4,2009-11-13,2019-06-16,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,Saudi Arabia,2,0,2,0,1,1,2008-08-20,2019-11-19,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,Scotland,0,0,0,0,0,0,,,,
Paraguay,Senegal,0,0,0,0,0,0,,,,
Paraguay,South Africa,3,0,2,1,2,5,2008-03-26,2018-11-20,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,South Korea,4,0,1,3,2,7,2009-08-12,2025-10-14,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,Spain,1,0,0,1,0,1,2010-07-03,2010-07-03,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,Sweden,1,0,0,1,0,1,2006-06-15,2006-06-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
Paraguay,Switzerland,0,0,0,0,0,0,,,,
Paraguay,Tunisia,0,0,0,0,0,0,,,,
Paraguay,Turkey,0,0,0,0,0,0,,,,
Paraguay,United States,5,2,0,3,5,5,2007-07-02,2025-11-15,martj42/international_results results.csv,https://github.com/martj42/international_results/blob/master/results.csv
